TeamNM,Date,Opponent,Result,Cumulative Wins,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_TOP_Converted,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Arizona,09/02/2023,Northern Ariz.,W 38-3,1,26,20,1.0,292,3.0,201.65,20.0,14.6,0.769,292.0,27,186,204,18,6.89,1.0,186.0,53,20,292,20.0,14.6,3.0,292.0,39,478,9.02,5,2.0,1,24:57,24.95,53,478,9.02,11,11,1.0,11,11.0,91,91.0,0.0,0.0,292,0.0,0,0,0,478,0.0,47,5.0,5.0,5.0,0,0,0,0.0,0,0,0,1.0,0,38.0,0,2.0,1,1.0,42,34,7.0,2.0,25,76,0.0,6.0,0.0,0,6.0,1,0.0,0,0,1.0,1.0,0,35.0,0,1,39,39.0,0,39,39,0,0,0,7,454,6.0,0,0,0,279,0.0,4.0,5.0,25.0,0,3.0,1.0,1.0,1,0,0,0,0,1,0.0,1.0,1,1.0,0.0,1.0
Arizona,09/09/2023,@ Mississippi St.,L 24-31 (1 OT),1,47,33,4.0,340,2.0,128.0,33.0,10.303,0.702,340.0,25,91,100,9,3.64,1.0,91.0,13,33,340,33.0,10.3,2.0,340.0,55,431,5.99,13,3.0,4,32:22,32.37,72,431,5.99,4,16,3.0,5,5.0,55,55.0,0.0,0.0,340,0.0,0,0,35.0,466,0.0,60,3.0,3.0,3.0,0,0,0,0.0,0,0,0,1.0,0,24.0,2.0,0,15,2.0,22,60,3.0,6.0,23,82,0.0,0,0.0,0,0,1,0.0,0,0,1.0,1.0,0,36.0,1.0,2,71,35.5,0,37,46,0,0,0,5,310,4.0,2.0,0,35.0,189,0.0,4.0,5.0,24.0,1.0,2.0,1.0,1.0,1,0,0,0,0,1,0.0,0,1,1.0,0.0,4.0
Arizona,09/16/2023,UTEP,W 31-10,2,32,25,0,300,3.0,187.81,25.0,12.0,0.781,300.0,32,244,262,18,7.63,1.0,244.0,59,25,300,25.0,12.0,3.0,300.0,37,544,8.5,10,0,5,30:17,30.28,64,544,8.5,12,12,2.0,6,6.0,34,34.0,0.0,0.0,300,0.0,22.0,0,42.0,608,0.0,61,4.0,4.0,4.0,0,0,0,0.0,0,0,0,1.0,0,31.0,3.0,0,27,3.0,22,36,5.0,0,31,58,0.0,4.0,0.0,0,4.0,1,0.0,0,22.0,1.0,2.0,1,38.0,2.0,3,102,34.0,0,39,102,1.0,0,0,6,390,6.0,3.0,0,42.0,240,0.0,5.0,5.0,31.0,1.0,3.0,1.0,1.0,0,0,0,0,0,1,0.0,0,1,1.0,0.0,0
Arizona,09/23/2023,@ Stanford,W 21-20,3,30,18,0,204,1.0,128.12,18.0,11.333,0.6,204.0,37,145,156,11,3.92,2.0,145.0,24,18,204,18.0,11.33,1.0,204.0,36,349,5.21,13,2.0,6,28:51,28.85,67,349,5.21,10,10,0,5,5.0,36,36.0,0.0,0.0,204,0.0,0,10.0,6.0,365,0.0,58,3.0,3.0,3.0,0,0,0,0.0,0,0,0,0,0,21.0,4.0,2.0,28,5.0,35,26,7.0,8.0,42,61,0.0,4.0,0.0,0,4.0,1,0.0,0,0,0,0,0,0,1.0,5,191,38.2,1.0,42,171,2.0,0,10.0,4,260,4.0,1.0,0,6.0,160,0.0,2.0,2.0,14.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
Arizona,09/30/2023,Washington,L 24-31,3,39,27,1.0,232,3.0,139.46,27.0,8.593,0.692,232.0,31,110,117,7,3.55,0,110.0,13,27,232,27.0,8.59,3.0,232.0,33,342,4.89,12,4.0,4,30:09,30.15,70,342,4.89,8,13,6.0,8,8.0,60,60.0,0.0,0.0,232,0.0,0,-1.0,-1.0,340,0.0,60,3.0,3.0,3.0,0,0,0,0.0,0,0,0,1.0,0,24.0,2.0,0,5,2.0,32,36,4.0,2.0,19,68,0.0,3.0,0.0,0,3.0,2,0.0,0,0,1.0,1.0,0,30.0,2.0,3,140,46.7,0,69,140,1.0,0,-1.0,4,219,3.0,1.0,0,-1.0,143,0.0,4.0,4.0,24.0,0,3.0,1.0,1.0,0,0,0,0,0,1,0.0,0,1,0,0.0,1.0
Arizona,10/07/2023,@ Southern California,L 41-43 (3 OT),3,35,25,1.0,303,5.0,185.58,25.0,12.12,0.714,303.0,42,203,232,29,4.83,0,203.0,42,25,303,25.0,12.12,5.0,303.0,39,506,6.57,16,2.0,8,35:39,35.65,77,506,6.57,12,14,2.0,12,12.0,99,99.0,0.0,0.0,303,0.0,0,0,0,506,0.0,68,5.0,3.0,3.0,0,1.0,1.0,1.0,2,0,0,2.0,0,41.0,3.0,2.0,22,4.0,34,18,5.0,2.0,29,52,0.0,2.0,0.0,0,2.0,1,0.0,0,0,2.0,3.0,0,23.0,1.0,3,109,36.3,0,43,104,1.0,0,0,6,385,4.0,0,0,0,248,0.0,5.0,5.0,27.0,0,3.0,2.0,2.0,0,0,0,0,0,1,0.0,0,1,0,0.0,1.0
Arizona,10/14/2023,@ Washington St.,W 44-6,4,43,34,0,342,0,145.88,34.0,10.059,0.791,342.0,37,174,195,21,4.7,5.0,174.0,40,34,342,34.0,10.06,0,342.0,69,516,6.45,17,1.0,10,38:39,38.65,80,516,6.45,11,15,0,5,5.0,55,55.0,0.0,0.0,342,2.0,0,0,0,516,0.0,73,5.0,5.0,5.0,0,0,0,0.0,0,0,0,3.0,0,44.0,2.0,0,13,2.0,30,20,4.0,0,25,50,0.0,3.0,2.0,0,5.0,1,0.0,0,0,3.0,3.0,0,40.0,2.0,2,86,43.0,0,45,86,0,0,0,9,585,8.0,0,0,0,385,0.0,5.0,5.0,27.0,3.0,0,2.0,2.0,0,0,0,0,0,1,2.0,0,1,0,2.0,0
Arizona,10/28/2023,Oregon St.,W 27-24,5,32,25,1.0,275,3.0,175.0,25.0,11.0,0.781,275.0,30,88,119,31,2.93,0,88.0,19,25,275,25.0,11.0,3.0,275.0,40,363,5.85,11,1.0,5,30:46,30.77,62,363,5.85,10,10,1.0,4,4.0,20,20.0,0.0,0.0,275,0.0,0,36.0,0,399,0.0,57,3.0,3.0,3.0,0,0,0,0.0,0,0,0,2.0,0,27.0,1.0,0,8,1.0,34,24,2.0,2.0,16,58,0.0,7.0,0.0,0,7.0,0,0.0,0,0,2.0,2.0,0,51.0,1.0,2,103,51.5,0,54,95,2.0,0,36.0,6,387,5.0,0,0,0,243,0.0,3.0,3.0,17.0,0,2.0,1.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0
Arizona,11/04/2023,UCLA,W 27-10,6,33,25,1.0,300,3.0,176.06,25.0,12.0,0.758,300.0,35,129,158,29,3.69,0,129.0,19,25,300,25.0,12.0,3.0,300.0,66,429,6.31,16,0,11,35:14,35.23,68,429,6.31,8,13,2.0,3,3.0,25,25.0,0.0,0.0,300,0.0,0,11.0,20.0,460,0.0,63,3.0,3.0,3.0,0,0,0,0.0,0,0,0,2.0,0,27.0,3.0,0,22,3.0,34,22,4.0,0,24,56,0.0,5.0,0.0,0,5.0,0,0.0,0,0,2.0,2.0,0,37.0,0,2,40,20.0,1.0,40,20,2.0,0,11.0,6,390,6.0,1.0,0,20.0,240,0.0,5.0,5.0,27.0,0,3.0,2.0,2.0,0,0,0,0,0,0,0.0,1.0,0,0,0.0,1.0
Arizona,11/11/2023,@ Colorado,W 34-31,7,35,21,0,214,2.0,130.22,21.0,10.19,0.6,214.0,27,207,218,11,7.67,2.0,207.0,54,21,214,21.0,10.19,2.0,214.0,31,421,6.79,12,0,4,24:50,24.83,62,421,6.79,7,12,3.0,8,8.0,87,87.0,0.0,0.0,214,0.0,0,6.0,40.0,467,0.0,52,4.0,4.0,4.0,0,0,0,0.0,0,0,0,2.0,0,34.0,3.0,0,27,3.0,37,26,3.0,0,27,63,0.0,6.0,0.0,0,6.0,1,0.0,0,0,2.0,2.0,0,52.0,1.0,6,269,44.8,0,49,196,2.0,0,6.0,6,390,6.0,2.0,0,40.0,240,0.0,5.0,5.0,31.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
